product_name,complaint_count
KM 5024 M Floral,1
52465 ProSmart,1
51865 ProSmart,1
31845 WIFI PROSMART,1
BK YP 33 PRMX,1
D 72 HP,1
BMC 2520-2,1
BMD 2090 DS,1
BMD 260 AF DB,1
BKK 1151,1
MK 8150 Starlight,1
MK-5940,1
MS 5910,1
BKK 1302,1
BKS 9322,1
AFM 25300 IOK,1
AOMG 64160 DB,1
AOMG 64160 LS,1
BOXD D 6110 EB,1
HTZG 64121 S Cam,1
HTZM 64120 SW,1
BKK 2111 IN Çelik,1
SE 8035 I Porselen,1
HTZG 64121 SW,1
YHTSG 64120 S,1
BSS 2210,1
BSS 4410,1
BSS 2214S,1
TSZ 8953,1
HydroTrio Pro VRW 90421 VD,1
BKS 5540,1
PerformFlex,1
TRB 5984,1
B 157 E,1
B32 D 560 B,1
B65 OLED D 975 A,1
B48L 9583 5B,1
B40 C 685 A,1
B85 N 995 X,1
B55 LW 9377,1
B43 C 890 A,1
B49 LB 8477,1
B49 A 950 A,1
B40 D 500 B,1
B40 D 560 B,1
B40 D 695 B,1
B43K 694G,1
BKT 650 SM E,1
BRI 11D 2300,1
BKK 2175 TG,1
TM 8946 Crystal,1
BKK 2294 TG,1
BKK 2420,1
31665 AV,1
BK S PTC 2000,1
